symbol,rule,signal_date,eligible_date,days_to_eligible,holder_class,confidence,basis
OMNI,lockin_expiry_aif_vcf_6m,2026-03-05,2026-09-05,29,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
YAAP,lockin_expiry_non_promoter_6m,2026-03-05,2026-09-05,29,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
YAAP,lockin_expiry_promoter_excess_6m,2026-03-05,2026-09-05,29,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
YAAP,lockin_expiry_aif_vcf_6m,2026-03-05,2026-09-05,29,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
PFC2026,lockin_expiry_non_promoter_6m,2026-03-05,2026-09-05,29,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
PFC2026,lockin_expiry_promoter_excess_6m,2026-03-05,2026-09-05,29,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
PFC2026,lockin_expiry_aif_vcf_6m,2026-03-05,2026-09-05,29,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
STRIDERS,lockin_expiry_non_promoter_6m,2026-03-06,2026-09-06,30,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
STRIDERS,lockin_expiry_promoter_excess_6m,2026-03-06,2026-09-06,30,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
STRIDERS,lockin_expiry_aif_vcf_6m,2026-03-06,2026-09-06,30,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
NMC01,lockin_expiry_non_promoter_6m,2026-03-06,2026-09-06,30,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
NMC01,lockin_expiry_promoter_excess_6m,2026-03-06,2026-09-06,30,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
NMC01,lockin_expiry_aif_vcf_6m,2026-03-06,2026-09-06,30,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
BALAJIPHOS,lockin_expiry_mpc,2025-03-07,2026-09-07,31,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
CMRGREEN,lockin_expiry_anchor_90d,2026-06-10,2026-09-08,32,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
ACETEC,lockin_expiry_non_promoter_6m,2026-03-09,2026-09-09,33,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ACETEC,lockin_expiry_promoter_excess_6m,2026-03-09,2026-09-09,33,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ACETEC,lockin_expiry_aif_vcf_6m,2026-03-09,2026-09-09,33,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
SCL004,lockin_expiry_non_promoter_6m,2026-03-09,2026-09-09,33,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SCL004,lockin_expiry_promoter_excess_6m,2026-03-09,2026-09-09,33,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SCL004,lockin_expiry_aif_vcf_6m,2026-03-09,2026-09-09,33,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_non_promoter_6m,2026-03-09,2026-09-09,33,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_promoter_excess_6m,2026-03-09,2026-09-09,33,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_aif_vcf_6m,2026-03-09,2026-09-09,33,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_non_promoter_6m,2026-03-09,2026-09-09,33,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_promoter_excess_6m,2026-03-09,2026-09-09,33,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_aif_vcf_6m,2026-03-09,2026-09-09,33,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_non_promoter_6m,2026-03-09,2026-09-09,33,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_promoter_excess_6m,2026-03-09,2026-09-09,33,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
975SCL35,lockin_expiry_aif_vcf_6m,2026-03-09,2026-09-09,33,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
HEXAGON,lockin_expiry_anchor_90d,2026-06-12,2026-09-10,34,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
GENXAI,lockin_expiry_anchor_90d,2026-06-12,2026-09-10,34,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
SEDEMAC,lockin_expiry_non_promoter_6m,2026-03-11,2026-09-11,35,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SEDEMAC,lockin_expiry_promoter_excess_6m,2026-03-11,2026-09-11,35,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SEDEMAC,lockin_expiry_aif_vcf_6m,2026-03-11,2026-09-11,35,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
VITAL,lockin_expiry_non_promoter_6m,2026-03-11,2026-09-11,35,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
VITAL,lockin_expiry_promoter_excess_6m,2026-03-11,2026-09-11,35,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
VITAL,lockin_expiry_aif_vcf_6m,2026-03-11,2026-09-11,35,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
KOTYARK,lockin_expiry_non_promoter_6m,2026-03-12,2026-09-12,36,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
